fe_count,best_error
180,2.7532640270e+03
3177,7.2451693719e+02
5666,2.8028291241e+02
7923,1.4961320388e+02
10018,1.1290624760e+02
11987,1.0290088115e+02
13850,1.0048345911e+02
15625,1.0011867485e+02
17324,1.0002590566e+02
18952,1.0000397052e+02
20521,1.0000078695e+02
22033,1.0000020741e+02
23495,1.0000004429e+02
24909,1.0000000784e+02
26280,1.0000000157e+02
27612,1.0000000040e+02
28903,1.0000000008e+02
30161,1.0000000002e+02
31384,1.0000000000e+02
32575,1.0000000000e+02
33737,1.0000000000e+02
34871,1.0000000000e+02
35977,1.0000000000e+02
37057,1.0000000000e+02
38112,1.0000000000e+02
39143,1.0000000000e+02
40151,1.0000000000e+02
40392,1.0000000000e+02
43253,1.0000000000e+02
45523,1.0000000000e+02
45764,1.0000000000e+02
48594,1.0000000000e+02
50818,1.0000000000e+02
52780,1.0000000000e+02
54565,1.0000000000e+02
54806,1.0000000000e+02
57563,1.0000000000e+02
59699,1.0000000000e+02
61567,1.0000000000e+02
63253,1.0000000000e+02
64798,1.0000000000e+02
66230,1.0000000000e+02
67566,1.0000000000e+02
68821,1.0000000000e+02
69062,1.0000000000e+02
71665,1.0000000000e+02
73606,1.0000000000e+02
75269,1.0000000000e+02
76742,1.0000000000e+02
78073,1.0000000000e+02
79289,1.0000000000e+02
80410,1.0000000000e+02
81449,1.0000000000e+02
82417,1.0000000000e+02
83321,1.0000000000e+02
84170,1.0000000000e+02
84968,1.0000000000e+02
85721,1.0000000000e+02
86433,1.0000000000e+02
87106,1.0000000000e+02
87744,1.0000000000e+02
87985,1.0000000000e+02
90160,1.0000000000e+02
91584,1.0000000000e+02
92711,1.0000000000e+02
93646,1.0000000000e+02
94440,1.0000000000e+02
95125,1.0000000000e+02
95723,1.0000000000e+02
96249,1.0000000000e+02
96716,1.0000000000e+02
97130,1.0000000000e+02
97499,1.0000000000e+02
97832,1.0000000000e+02
98129,1.0000000000e+02
98397,1.0000000000e+02
98640,1.0000000000e+02
98860,1.0000000000e+02
99060,1.0000000000e+02
99237,1.0000000000e+02
99401,1.0000000000e+02
99551,1.0000000000e+02
99684,1.0000000000e+02
99809,1.0000000000e+02
99921,1.0000000000e+02
100000,1.0000000000e+02
