fe_count,best_error
540,2.5247510254e+03
9473,3.0859974340e+02
16863,2.0580399102e+02
23550,1.8808231241e+02
29745,1.6635902531e+02
35557,1.4250679245e+02
41054,1.2385681393e+02
46281,1.0422871421e+02
51276,6.0694491541e+01
56064,0.0000000000e+00
60668,0.0000000000e+00
65103,0.0000000000e+00
65643,0.0000000000e+00
70262,0.0000000000e+00
74375,0.0000000000e+00
74915,0.0000000000e+00
79249,0.0000000000e+00
83088,0.0000000000e+00
83628,0.0000000000e+00
87720,0.0000000000e+00
91318,0.0000000000e+00
91858,0.0000000000e+00
95733,0.0000000000e+00
99119,0.0000000000e+00
99659,0.0000000000e+00
103343,0.0000000000e+00
106538,0.0000000000e+00
107078,0.0000000000e+00
110590,0.0000000000e+00
113615,0.0000000000e+00
114155,0.0000000000e+00
117509,0.0000000000e+00
120378,0.0000000000e+00
120918,0.0000000000e+00
124128,0.0000000000e+00
126853,0.0000000000e+00
127393,0.0000000000e+00
130473,0.0000000000e+00
133066,0.0000000000e+00
133606,0.0000000000e+00
136564,0.0000000000e+00
139033,0.0000000000e+00
139573,0.0000000000e+00
142418,0.0000000000e+00
144773,0.0000000000e+00
145313,0.0000000000e+00
148051,0.0000000000e+00
150299,0.0000000000e+00
150839,0.0000000000e+00
153479,0.0000000000e+00
155626,0.0000000000e+00
156166,0.0000000000e+00
158712,0.0000000000e+00
160768,0.0000000000e+00
161308,0.0000000000e+00
163767,0.0000000000e+00
165731,0.0000000000e+00
166271,0.0000000000e+00
168648,0.0000000000e+00
170531,0.0000000000e+00
171071,0.0000000000e+00
173371,0.0000000000e+00
175175,0.0000000000e+00
175715,0.0000000000e+00
177940,0.0000000000e+00
179668,0.0000000000e+00
180208,0.0000000000e+00
182363,0.0000000000e+00
184019,0.0000000000e+00
184559,0.0000000000e+00
186646,0.0000000000e+00
188233,0.0000000000e+00
188773,0.0000000000e+00
190797,0.0000000000e+00
192320,0.0000000000e+00
192860,0.0000000000e+00
194822,0.0000000000e+00
196282,0.0000000000e+00
196822,0.0000000000e+00
198729,0.0000000000e+00
200129,0.0000000000e+00
200669,0.0000000000e+00
202519,0.0000000000e+00
203865,0.0000000000e+00
204405,0.0000000000e+00
206200,0.0000000000e+00
207490,0.0000000000e+00
208030,0.0000000000e+00
209773,0.0000000000e+00
211011,0.0000000000e+00
211551,0.0000000000e+00
213244,0.0000000000e+00
214432,0.0000000000e+00
214972,0.0000000000e+00
216618,0.0000000000e+00
217759,0.0000000000e+00
218299,0.0000000000e+00
219901,0.0000000000e+00
220999,0.0000000000e+00
221539,0.0000000000e+00
223101,0.0000000000e+00
224151,0.0000000000e+00
224691,0.0000000000e+00
226215,0.0000000000e+00
227217,0.0000000000e+00
227757,0.0000000000e+00
229233,0.0000000000e+00
230201,0.0000000000e+00
230741,0.0000000000e+00
232182,0.0000000000e+00
233107,0.0000000000e+00
233647,0.0000000000e+00
235051,0.0000000000e+00
235938,0.0000000000e+00
236478,0.0000000000e+00
237843,0.0000000000e+00
238693,0.0000000000e+00
239233,0.0000000000e+00
240565,0.0000000000e+00
241382,0.0000000000e+00
241922,0.0000000000e+00
243224,0.0000000000e+00
243999,0.0000000000e+00
244539,0.0000000000e+00
245799,0.0000000000e+00
246549,0.0000000000e+00
247089,0.0000000000e+00
248325,0.0000000000e+00
249042,0.0000000000e+00
249582,0.0000000000e+00
250793,0.0000000000e+00
251468,0.0000000000e+00
252008,0.0000000000e+00
253179,0.0000000000e+00
253829,0.0000000000e+00
254369,0.0000000000e+00
255509,0.0000000000e+00
256134,0.0000000000e+00
256674,0.0000000000e+00
257790,0.0000000000e+00
258390,0.0000000000e+00
258930,0.0000000000e+00
260022,0.0000000000e+00
260597,0.0000000000e+00
261137,0.0000000000e+00
262205,0.0000000000e+00
262753,0.0000000000e+00
263293,0.0000000000e+00
264337,0.0000000000e+00
264856,0.0000000000e+00
265396,0.0000000000e+00
266416,0.0000000000e+00
266909,0.0000000000e+00
267449,0.0000000000e+00
268445,0.0000000000e+00
268916,0.0000000000e+00
269456,0.0000000000e+00
270428,0.0000000000e+00
270878,0.0000000000e+00
271418,0.0000000000e+00
272366,0.0000000000e+00
272791,0.0000000000e+00
273331,0.0000000000e+00
274255,0.0000000000e+00
274655,0.0000000000e+00
275195,0.0000000000e+00
276095,0.0000000000e+00
276470,0.0000000000e+00
277010,0.0000000000e+00
277886,0.0000000000e+00
278236,0.0000000000e+00
278776,0.0000000000e+00
279628,0.0000000000e+00
279953,0.0000000000e+00
280493,0.0000000000e+00
281345,0.0000000000e+00
281651,0.0000000000e+00
282191,0.0000000000e+00
283019,0.0000000000e+00
283319,0.0000000000e+00
283859,0.0000000000e+00
284663,0.0000000000e+00
284938,0.0000000000e+00
285478,0.0000000000e+00
286258,0.0000000000e+00
286508,0.0000000000e+00
287048,0.0000000000e+00
287828,0.0000000000e+00
288058,0.0000000000e+00
288598,0.0000000000e+00
289354,0.0000000000e+00
289579,0.0000000000e+00
290119,0.0000000000e+00
290851,0.0000000000e+00
291051,0.0000000000e+00
291591,0.0000000000e+00
292313,0.0000000000e+00
292488,0.0000000000e+00
293028,0.0000000000e+00
293736,0.0000000000e+00
293911,0.0000000000e+00
294451,0.0000000000e+00
295135,0.0000000000e+00
295285,0.0000000000e+00
295825,0.0000000000e+00
296509,0.0000000000e+00
296659,0.0000000000e+00
297199,0.0000000000e+00
297859,0.0000000000e+00
297984,0.0000000000e+00
298524,0.0000000000e+00
299160,0.0000000000e+00
299260,0.0000000000e+00
299800,0.0000000000e+00
300000,0.0000000000e+00
