algorithm,dataset,budget,trial,best_accuracy,best_fitness,n_queries,elapsed_s,is_real_data
Random,cifar10,50,25,78.0123,21.9877,50,0.001,False
Random,cifar10,50,27,90.0663,9.9337,50,0.001,False
Random,cifar10,50,12,81.0687,18.9313,50,0.001,False
Random,cifar10,50,19,84.9708,15.0292,50,0.001,False
Random,cifar10,50,14,81.9586,18.0414,50,0.001,False
Random,cifar10,50,20,82.9954,17.0046,50,0.001,False
Random,cifar10,50,10,81.9965,18.0035,50,0.001,False
Random,cifar10,50,18,80.0933,19.9067,50,0.001,False
Random,cifar10,50,17,80.0132,19.9868,50,0.001,False
Random,cifar10,50,8,87.0062,12.9938,50,0.001,False
Random,cifar10,50,100,85.0296,14.9704,50,0.001,False
Random,cifar10,50,101,78.9498,21.0502,50,0.001,False
Random,cifar10,50,3,91.0237,8.9763,50,0.001,False
Random,cifar10,50,23,90.9765,9.0235,50,0.001,False
Random,cifar10,50,24,84.9734,15.0266,50,0.001,False
Random,cifar10,50,31,82.0355,17.9645,50,0.001,False
Random,cifar10,50,16,94.0612,5.9388,50,0.001,False
Random,cifar10,50,0,76.9773,23.0227,50,0.001,False
Random,cifar10,50,37,80.1576,19.8424,50,0.001,False
Random,cifar10,50,33,82.9929,17.0071,50,0.001,False
Random,cifar10,50,102,84.9431,15.0569,50,0.001,False
Random,cifar10,50,35,79.9472,20.0528,50,0.001,False
Random,cifar10,50,29,90.935,9.065,50,0.001,False
Random,cifar10,50,22,81.9785,18.0215,50,0.001,False
Random,cifar10,50,103,78.0025,21.9975,50,0.001,False
Random,cifar10,50,56,82.0297,17.9703,50,0.001,False
Random,cifar10,50,41,82.0692,17.9308,50,0.001,False
Random,cifar10,50,106,80.9686,19.0314,50,0.001,False
Random,cifar10,50,104,85.0579,14.9421,49,0.001,False
Random,cifar10,50,21,82.0245,17.9755,50,0.001,False
Random,cifar10,50,105,87.0616,12.9384,50,0.001,False
Random,cifar10,50,34,81.8858,18.1142,50,0.001,False
Random,cifar10,50,7,81.8858,18.1142,50,0.001,False
Random,cifar10,50,36,76.9903,23.0097,50,0.001,False
Random,cifar10,50,1,82.01,17.99,50,0.001,False
Random,cifar10,50,108,83.959,16.041,50,0.001,False
Random,cifar10,50,107,81.9447,18.0553,50,0.001,False
Random,cifar10,50,30,84.9839,15.0161,50,0.001,False
Random,cifar10,50,109,79.9541,20.0459,50,0.001,False
Random,cifar10,50,11,91.0015,8.9985,50,0.001,False
Random,cifar10,50,110,81.0383,18.9617,50,0.001,False
Random,cifar10,50,40,82.9414,17.0586,50,0.001,False
Random,cifar10,50,112,82.0036,17.9964,50,0.001,False
Random,cifar10,50,44,80.9449,19.0551,50,0.001,False
Random,cifar10,50,111,78.0636,21.9364,50,0.001,False
Random,cifar10,50,114,81.9946,18.0054,50,0.001,False
Random,cifar10,50,42,78.0123,21.9877,50,0.001,False
Random,cifar10,50,113,91.0068,8.9932,50,0.001,False
Random,cifar10,50,115,81.0684,18.9316,50,0.001,False
Random,cifar10,50,28,82.0742,17.9258,50,0.001,False
Random,cifar10,50,45,82.0727,17.9273,50,0.001,False
Random,cifar10,50,67,80.1047,19.8953,50,0.001,False
Random,cifar10,50,2,82.9487,17.0513,50,0.001,False
Random,cifar10,50,116,91.0384,8.9616,50,0.001,False
Random,cifar10,50,121,79.9853,20.0147,50,0.001,False
Random,cifar10,50,118,79.9925,20.0075,50,0.001,False
Random,cifar10,50,77,82.0255,17.9745,49,0.001,False
Random,cifar10,50,38,80.0933,19.9067,49,0.001,False
Random,cifar10,50,65,77.8967,22.1033,50,0.001,False
Random,cifar10,50,122,78.0072,21.9928,50,0.001,False
Random,cifar10,50,46,83.038,16.962,50,0.001,False
Random,cifar10,50,120,83.1049,16.8951,50,0.001,False
Random,cifar10,50,123,89.9743,10.0257,49,0.001,False
Random,cifar10,50,126,84.0147,15.9853,50,0.001,False
Random,cifar10,50,125,82.0299,17.9701,50,0.001,False
Random,cifar10,50,66,81.976,18.024,50,0.001,False
Random,cifar10,50,127,82.0026,17.9974,50,0.0,False
Random,cifar10,50,124,77.9731,22.0269,50,0.003,False
Random,cifar10,50,53,77.9448,22.0552,50,0.001,False
Random,cifar10,50,128,82.0968,17.9032,50,0.001,False
Random,cifar10,50,129,81.9396,18.0604,50,0.001,False
Random,cifar10,50,130,82.9509,17.0491,48,0.001,False
Random,cifar10,50,131,82.0384,17.9616,50,0.001,False
Random,cifar10,50,117,82.0348,17.9652,49,0.001,False
Random,cifar10,50,132,82.9561,17.0439,50,0.001,False
Random,cifar10,50,99,79.0112,20.9888,50,0.001,False
Random,cifar10,50,133,83.0801,16.9199,50,0.001,False
Random,cifar10,50,135,80.8756,19.1244,49,0.001,False
Random,cifar10,50,13,79.9609,20.0391,50,0.001,False
Random,cifar10,50,4,81.033,18.967,50,0.001,False
Random,cifar10,50,60,90.9765,9.0235,50,0.001,False
Random,cifar10,50,134,82.0184,17.9816,50,0.001,False
Random,cifar10,50,72,81.9602,18.0398,50,0.001,False
Random,cifar10,50,136,84.9577,15.0423,49,0.001,False
Random,cifar10,50,94,88.0427,11.9573,50,0.001,False
Random,cifar10,50,139,80.0017,19.9983,50,0.001,False
Random,cifar10,50,138,85.9954,14.0046,50,0.001,False
Random,cifar10,50,137,82.0246,17.9754,49,0.001,False
Random,cifar10,50,140,82.0642,17.9358,50,0.001,False
Random,cifar10,50,95,85.9954,14.0046,50,0.001,False
Random,cifar10,50,141,76.0303,23.9697,50,0.001,False
Random,cifar10,50,142,80.0804,19.9196,50,0.001,False
Random,cifar10,50,146,76.9942,23.0058,50,0.001,False
Random,cifar10,50,143,82.9675,17.0325,50,0.001,False
Random,cifar10,50,145,91.0648,8.9352,50,0.001,False
Random,cifar10,50,144,80.0341,19.9659,49,0.001,False
Random,cifar10,50,153,76.0415,23.9585,50,0.001,False
Random,cifar10,50,148,85.0568,14.9432,50,0.001,False
Random,cifar10,50,151,85.0473,14.9527,50,0.001,False
Random,cifar10,50,82,79.995,20.005,50,0.001,False
Random,cifar10,50,97,82.9245,17.0755,50,0.001,False
Random,cifar10,50,150,78.0105,21.9895,50,0.001,False
Random,cifar10,50,156,82.0608,17.9392,50,0.001,False
Random,cifar10,50,152,83.0487,16.9513,50,0.001,False
Random,cifar10,50,149,79.9587,20.0413,50,0.001,False
Random,cifar10,50,147,76.9209,23.0791,50,0.001,False
Random,cifar10,50,154,84.9837,15.0163,50,0.001,False
Random,cifar10,50,157,82.858,17.142,49,0.001,False
Random,cifar10,50,119,82.0352,17.9648,50,0.001,False
Random,cifar10,50,158,80.9736,19.0264,50,0.001,False
Random,cifar10,50,155,79.9461,20.0539,50,0.001,False
