algorithm,dataset,budget,trial,best_accuracy,best_fitness,n_queries,elapsed_s,is_real_data
Random,cifar10,50,15,65.0134,34.9866,49,0.001,False
Random,cifar10,50,1,69.9166,30.0834,50,0.001,False
Random,cifar10,50,59,69.9651,30.0349,50,0.001,False
RE,cifar10,50,0,65.1316,34.8684,50,0.001,False
RE,cifar10,50,1,69.9166,30.0834,50,0.001,False
RE,cifar10,50,2,69.9925,30.0075,50,0.001,False
RE,cifar10,50,3,65.0685,34.9315,50,0.001,False
RE,cifar10,50,4,70.033,29.967,50,0.001,False
Random,cifar10,50,18,70.0933,29.9067,50,0.001,False
RE,cifar10,50,6,70.0285,29.9715,50,0.001,False
Random,cifar10,50,14,70.1027,29.8973,50,0.001,False
RE,cifar10,50,5,65.0538,34.9462,50,0.001,False
Random,cifar10,50,74,69.9574,30.0426,50,0.004,False
RE,cifar10,50,7,70.0697,29.9303,50,0.001,False
RE,cifar10,50,9,70.025,29.975,50,0.001,False
Random,cifar10,50,6,70.0285,29.9715,50,0.001,False
RE,cifar10,50,13,69.9609,30.0391,50,0.001,False
Random,cifar10,50,60,65.0493,34.9507,50,0.001,False
RE,cifar10,50,8,70.0345,29.9655,50,0.001,False
RE,cifar10,50,14,70.1027,29.8973,50,0.001,False
Random,cifar10,50,31,69.9918,30.0082,50,0.001,False
Random,cifar10,50,54,69.9916,30.0084,50,0.001,False
RE,cifar10,50,12,70.0687,29.9313,50,0.005,False
RE,cifar10,50,11,65.0268,34.9732,50,0.001,False
RE,cifar10,50,16,69.998,30.002,50,0.001,False
RE,cifar10,50,19,65.0366,34.9634,50,0.001,False
RE,cifar10,50,24,74.9734,25.0266,50,0.001,False
RE,cifar10,50,17,65.0411,34.9589,50,0.001,False
Random,cifar10,50,46,70.0458,29.9542,50,0.007,False
RE,cifar10,50,25,65.0142,34.9858,50,0.001,False
RE,cifar10,50,18,70.0933,29.9067,50,0.001,False
Random,cifar10,50,37,70.1576,29.8424,50,0.001,False
RE,cifar10,50,21,60.0567,39.9433,50,0.001,False
RE,cifar10,50,22,65.0563,34.9437,50,0.001,False
RE,cifar10,50,23,69.9793,30.0207,50,0.001,False
RE,cifar10,50,10,70.0687,29.9313,50,0.001,False
RE,cifar10,50,26,69.9418,30.0582,50,0.001,False
Random,cifar10,50,13,69.9609,30.0391,50,0.001,False
Random,cifar10,50,50,70.0758,29.9242,50,0.001,False
RE,cifar10,50,15,65.0134,34.9866,50,0.001,False
Random,cifar10,50,51,65.0342,34.9658,49,0.011,False
