variant,dim,func,seed,best_fit,elapsed_s,explore_pct,mean_kappa,effective_threshold,n_explore_agents,err_at_10pct,err_at_25pct,err_at_50pct,err_at_75pct,err_at_100pct
NL-SHADE,20,1,4,0.0,64.15,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,1,26,0.0,65.26,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,1,15,0.0,65.61,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,1,11,0.0,65.69,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,1,8,0.0,67.18,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,1,21,0.0,67.44,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,1,29,0.0,67.66,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,1,27,0.0,69.6,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,1,16,0.0,69.69,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,1,17,0.0,69.8,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,1,2,0.0,70.02,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,1,3,0.0,70.07,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,1,5,0.0,70.64,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,1,18,0.0,71.04,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,1,19,0.0,71.43,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,2,22,49.08447897948122,71.98,,,,,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122
NL-SHADE,20,2,29,49.08447897948122,72.43,,,,,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122
NL-SHADE,20,2,2,49.08447897948122,72.58,,,,,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122
NL-SHADE,20,2,9,49.08447897948122,73.34,,,,,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122
NL-SHADE,20,1,14,0.0,73.61,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,2,5,49.08447897948122,73.69,,,,,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122
NL-SHADE,20,1,0,0.0,73.81,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,1,28,0.0,73.91,,,,,0.0,0.0,0.0,0.0,0.0
NL-SHADE,20,2,14,49.08447897948122,74.2,,,,,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122
NL-SHADE,20,2,18,49.08447897948122,74.65,,,,,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122
NL-SHADE,20,2,26,49.08447897948122,74.92,,,,,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122
NL-SHADE,20,2,3,49.08447897948122,74.93,,,,,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122
NL-SHADE,20,2,28,49.08447897948122,75.53,,,,,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122,49.08447897948122
NL-SHADE,20,1,7,0.0,75.85,,,,,0.0,0.0,0.0,0.0,0.0
