fe_count,best_error
180,1.1417001580e+03
3177,4.7438236361e+02
5666,4.5473956758e+02
7923,4.5051297554e+02
10018,4.4801977081e+02
11987,4.4607758340e+02
13850,4.4482025815e+02
15625,4.4417349396e+02
17324,4.4386831276e+02
18952,4.4304388694e+02
20521,4.4287350450e+02
22033,4.4284999269e+02
23495,4.4214161501e+02
24909,4.4212194018e+02
26280,4.4199728184e+02
27612,4.4190171199e+02
28903,4.4189056934e+02
30161,4.4187814692e+02
31384,4.4187605990e+02
32575,4.4187591222e+02
33737,4.4187589798e+02
34871,4.4187589698e+02
35977,4.4187589691e+02
37057,4.4187589690e+02
38112,4.4187589690e+02
39143,4.4187589690e+02
40151,4.4187589690e+02
41138,4.4187589690e+02
42105,4.4187589690e+02
42346,4.4187589690e+02
45198,4.4187589690e+02
47451,4.4187589690e+02
49445,4.4187589690e+02
49686,4.4187589690e+02
52484,4.4187589690e+02
54672,4.4187589690e+02
56597,4.4187589690e+02
58340,4.4187589690e+02
58581,4.4187589690e+02
61303,4.4187589690e+02
63394,4.4187589690e+02
65215,4.4187589690e+02
66852,4.4187589690e+02
68348,4.4187589690e+02
69730,4.4187589690e+02
71017,4.4187589690e+02
72222,4.4187589690e+02
72463,4.4187589690e+02
75019,4.4187589690e+02
76900,4.4187589690e+02
78497,4.4187589690e+02
79906,4.4187589690e+02
81171,4.4187589690e+02
82319,4.4187589690e+02
83373,4.4187589690e+02
84345,4.4187589690e+02
85246,4.4187589690e+02
86086,4.4187589690e+02
86870,4.4187589690e+02
87606,4.4187589690e+02
88295,4.4187589690e+02
88944,4.4187589690e+02
89556,4.4187589690e+02
90137,4.4187589690e+02
90378,4.4187589690e+02
92444,4.4187589690e+02
93742,4.4187589690e+02
94741,4.4187589690e+02
95552,4.4187589690e+02
96225,4.4187589690e+02
96793,4.4187589690e+02
97280,4.4187589690e+02
97702,4.4187589690e+02
98068,4.4187589690e+02
98386,4.4187589690e+02
98667,4.4187589690e+02
98911,4.4187589690e+02
99127,4.4187589690e+02
99319,4.4187589690e+02
99490,4.4187589690e+02
99640,4.4187589690e+02
99772,4.4187589690e+02
99896,4.4187589690e+02
99996,4.4187589690e+02
100000,4.4187589690e+02
