algorithm,dataset,budget,trial,best_accuracy,best_fitness,n_queries,elapsed_s,is_real_data
Random,cifar10,50,4,80.0659,19.9341,50,0.0,False
Random,cifar10,50,60,73.0278,26.9722,50,0.0,False
Random,cifar10,50,100,80.1356,19.8644,50,0.0,False
Random,cifar10,50,48,77.7804,22.2196,50,0.001,False
Random,cifar10,50,101,73.0731,26.9269,50,0.0,False
Random,cifar10,50,102,79.9044,20.0956,50,0.0,False
Random,cifar10,50,3,72.9965,27.0035,50,0.001,False
Random,cifar10,50,5,73.1075,26.8925,50,0.001,False
Random,cifar10,50,21,68.1135,31.8865,50,0.0,False
Random,cifar10,50,104,73.0895,26.9105,49,0.0,False
Random,cifar10,50,22,72.9891,27.0109,50,0.001,False
Random,cifar10,50,8,78.069,21.931,50,0.001,False
Random,cifar10,50,83,78.095,21.905,50,0.0,False
Random,cifar10,50,39,75.0571,24.9429,50,0.001,False
Random,cifar10,50,17,73.0822,26.9178,50,0.001,False
Random,cifar10,50,18,78.1866,21.8134,50,0.001,False
Random,cifar10,50,59,79.9302,20.0698,50,0.001,False
Random,cifar10,50,19,75.0087,24.9913,50,0.001,False
Random,cifar10,50,36,71.1771,28.8229,50,0.001,False
Random,cifar10,50,61,77.9624,22.0376,50,0.0,False
Random,cifar10,50,85,78.0538,21.9462,50,0.0,False
Random,cifar10,50,105,74.9663,25.0337,50,0.0,False
Random,cifar10,50,37,78.3152,21.6848,50,0.001,False
Random,cifar10,50,34,75.0196,24.9804,50,0.001,False
Random,cifar10,50,11,73.0268,26.9732,50,0.001,False
Random,cifar10,50,56,72.9691,27.0309,50,0.0,False
Random,cifar10,50,87,79.9575,20.0425,50,0.001,False
Random,cifar10,50,103,73.2349,26.7651,50,0.001,False
Random,cifar10,50,33,70.9176,29.0824,50,0.001,False
Random,cifar10,50,32,78.0862,21.9138,50,0.001,False
Random,cifar10,50,35,77.8945,22.1055,50,0.001,False
Random,cifar10,50,108,73.0687,26.9313,50,0.0,False
Random,cifar10,50,66,78.0178,21.9822,50,0.0,False
Random,cifar10,50,57,75.1331,24.8669,50,0.001,False
Random,cifar10,50,109,75.115,24.885,50,0.0,False
Random,cifar10,50,110,80.0766,19.9234,50,0.001,False
Random,cifar10,50,112,78.069,21.931,50,0.0,False
Random,cifar10,50,42,74.9959,25.0041,50,0.001,False
Random,cifar10,50,49,73.0029,26.9971,50,0.001,False
Random,cifar10,50,47,85.003,14.997,50,0.001,False
Random,cifar10,50,98,79.9155,20.0845,50,0.001,False
Random,cifar10,50,62,78.0682,21.9318,50,0.0,False
Random,cifar10,50,116,77.9219,22.0781,50,0.0,False
Random,cifar10,50,118,77.985,22.015,50,0.0,False
Random,cifar10,50,119,74.9959,25.0041,50,0.0,False
Random,cifar10,50,1,79.8331,20.1669,50,0.001,False
Random,cifar10,50,120,80.2098,19.7902,50,0.0,False
Random,cifar10,50,43,73.246,26.754,50,0.001,False
Random,cifar10,50,64,72.9985,27.0015,50,0.0,False
Random,cifar10,50,74,79.9148,20.0852,50,0.0,False
Random,cifar10,50,121,77.9706,22.0294,50,0.004,False
Random,cifar10,50,16,77.996,22.004,50,0.001,False
Random,cifar10,50,44,79.8898,20.1102,50,0.001,False
Random,cifar10,50,124,75.1361,24.8639,50,0.0,False
Random,cifar10,50,12,80.1374,19.8626,50,0.001,False
Random,cifar10,50,106,77.9601,22.0399,50,0.001,False
Random,cifar10,50,46,80.0917,19.9083,50,0.001,False
Random,cifar10,50,13,77.9219,22.0781,50,0.001,False
Random,cifar10,50,9,78.0501,21.9499,50,0.001,False
Random,cifar10,50,54,79.9831,20.0169,50,0.001,False
Random,cifar10,50,125,73.1162,26.8838,50,0.0,False
Random,cifar10,50,0,75.2211,24.7789,50,0.001,False
Random,cifar10,50,77,73.0273,26.9727,49,0.001,False
Random,cifar10,50,126,78.0517,21.9483,50,0.0,False
Random,cifar10,50,14,78.2055,21.7945,50,0.001,False
Random,cifar10,50,107,75.0451,24.9549,50,0.001,False
Random,cifar10,50,15,73.0268,26.9732,49,0.001,False
Random,cifar10,50,76,77.9221,22.0779,50,0.001,False
Random,cifar10,50,111,75.1272,24.8728,50,0.001,False
Random,cifar10,50,72,80.123,19.877,50,0.001,False
Random,cifar10,50,132,79.9122,20.0878,50,0.0,False
Random,cifar10,50,7,78.1393,21.8607,50,0.001,False
Random,cifar10,50,41,73.0189,26.9811,50,0.001,False
Random,cifar10,50,52,77.8612,22.1388,50,0.001,False
Random,cifar10,50,136,75.0264,24.9736,49,0.0,False
Random,cifar10,50,2,77.985,22.015,50,0.001,False
Random,cifar10,50,113,80.0208,19.9792,50,0.001,False
Random,cifar10,50,134,78.0457,21.9543,50,0.0,False
Random,cifar10,50,135,79.7512,20.2488,49,0.0,False
Random,cifar10,50,115,80.1368,19.8632,50,0.001,False
Random,cifar10,50,51,74.8723,25.1277,49,0.001,False
Random,cifar10,50,40,79.8828,20.1172,50,0.001,False
