variant,dim,func,seed,best_fit,elapsed_s,explore_pct,mean_kappa,effective_threshold,n_explore_agents,err_at_10pct,err_at_25pct,err_at_50pct,err_at_75pct,err_at_100pct
NL-SHADE,10,1,21,0.0,15.61,,,,,3.319477173135965e-07,0.0,0.0,0.0,0.0
NL-SHADE,10,1,12,0.0,15.75,,,,,5.815983286083792e-07,0.0,0.0,0.0,0.0
NL-SHADE,10,1,24,0.0,15.85,,,,,4.0641339182911906e-07,0.0,0.0,0.0,0.0
NL-SHADE,10,1,9,0.0,15.87,,,,,1.0043119118563482e-06,0.0,0.0,0.0,0.0
NL-SHADE,10,1,5,0.0,15.92,,,,,3.640198713128484e-06,0.0,0.0,0.0,0.0
NL-SHADE,10,1,19,0.0,15.97,,,,,3.842154683297849e-08,0.0,0.0,0.0,0.0
NL-SHADE,10,1,18,0.0,16.08,,,,,1.3035025858698646e-07,0.0,0.0,0.0,0.0
NL-SHADE,10,1,14,0.0,16.12,,,,,1.3676906860382587e-06,0.0,0.0,0.0,0.0
NL-SHADE,10,1,15,0.0,16.27,,,,,4.838907443627249e-07,0.0,0.0,0.0,0.0
NL-SHADE,10,1,28,0.0,16.3,,,,,6.990219958424859e-07,0.0,0.0,0.0,0.0
NL-SHADE,10,1,26,0.0,16.5,,,,,1.373226552914275e-06,0.0,0.0,0.0,0.0
NL-SHADE,10,1,27,0.0,16.51,,,,,1.5786275753271184e-07,0.0,0.0,0.0,0.0
NL-SHADE,10,1,11,0.0,16.55,,,,,3.338823830745241e-07,0.0,0.0,0.0,0.0
NL-SHADE,10,1,4,0.0,16.77,,,,,2.923638930951711e-07,0.0,0.0,0.0,0.0
NL-SHADE,10,1,25,0.0,16.87,,,,,2.7254606038695783e-07,0.0,0.0,0.0,0.0
NL-SHADE,10,1,20,0.0,16.88,,,,,8.552465828870481e-07,0.0,0.0,0.0,0.0
NL-SHADE,10,1,2,0.0,16.98,,,,,1.385899508932198e-06,0.0,0.0,0.0,0.0
NL-SHADE,10,2,3,3.986579112347158,17.04,,,,,3.987648290096786,3.986579112347158,3.986579112347158,3.986579112347158,3.986579112347158
NL-SHADE,10,1,8,0.0,17.08,,,,,2.1757927015642053e-07,0.0,0.0,0.0,0.0
NL-SHADE,10,1,6,0.0,17.08,,,,,2.0217169094394194e-07,0.0,0.0,0.0,0.0
NL-SHADE,10,1,16,0.0,17.11,,,,,8.241795512731187e-08,0.0,0.0,0.0,0.0
NL-SHADE,10,2,8,3.986579112347158,17.25,,,,,5.129912797145039,3.986579112347158,3.986579112347158,3.986579112347158,3.986579112347158
NL-SHADE,10,2,22,3.986579112347158,17.36,,,,,4.072696127884228,3.986579112347158,3.986579112347158,3.986579112347158,3.986579112347158
NL-SHADE,10,2,20,8.916101927781312,17.47,,,,,8.916102723198833,8.916101927781312,8.916101927781312,8.916101927781312,8.916101927781312
NL-SHADE,10,2,21,8.916101927781312,17.54,,,,,8.916102603224601,8.916101927781312,8.916101927781312,8.916101927781312,8.916101927781312
NL-SHADE,10,2,18,8.916101927781312,17.63,,,,,8.916124875465869,8.916101927781312,8.916101927781312,8.916101927781312,8.916101927781312
NL-SHADE,10,2,17,3.986579112347158,17.75,,,,,4.009270230869902,3.986579112347158,3.986579112347158,3.986579112347158,3.986579112347158
