variant,func,seed,best_fit,elapsed_s,explore_pct
NL-SHADE,1,3,0.0,16.05,
NL-SHADE,2,0,8.916101927781312,16.76,
NL-SHADE,2,2,8.916101927781312,17.12,
NL-SHADE,2,4,3.986579112347158,16.96,
NL-SHADE,2,1,8.916101927781312,17.94,
NL-SHADE,5,3,0.0,18.32,
NL-SHADE,5,4,0.0,18.52,
NL-SHADE,5,0,0.0,19.24,
NL-SHADE,6,0,0.3726714741339947,21.5,
NL-SHADE,1,1,0.0,20.59,
NL-SHADE,2,3,8.916101927781312,19.86,
NL-SHADE,3,2,0.0,21.76,
NL-SHADE,3,3,0.0,22.81,
NL-SHADE,6,3,0.2873896164469443,22.79,
NL-SHADE,1,0,0.0,23.95,
NL-SHADE,6,1,0.4079993091436336,23.8,
NL-SHADE,6,2,0.469946399148057,23.93,
NL-SHADE,6,4,0.4558622669756005,24.36,
NL-SHADE,1,2,0.0,23.74,
NL-SHADE,1,4,0.0,24.12,
NL-SHADE,3,0,0.0,26.35,
NL-SHADE,3,4,0.0,26.73,
"B:km=.05,pe=.05,k=10",1,2,0.0,28.18,6.31
"B:km=.05,pe=.05,k=10",1,4,0.0,28.07,6.74
"A:km=0,pe=.05,k=10",1,4,0.0,28.36,6.7
"A:km=0,pe=.05,k=10",2,3,3.986579112347158,29.04,8.73
"B:km=.05,pe=.05,k=10",1,0,0.0,29.14,6.27
"B:km=.05,pe=.05,k=10",5,0,0.0,31.71,4.96
"A:km=0,pe=.05,k=10",5,2,0.0,31.65,5.09
NL-SHADE,5,1,0.0,30.88,
"B:km=.05,pe=.05,k=10",5,4,0.0,32.49,5.38
"B:km=.05,pe=.05,k=10",2,0,3.986579112347158,31.65,8.89
"A:km=0,pe=.05,k=10",2,1,8.916101927781312,33.71,7.29
"A:km=0,pe=.05,k=10",1,0,0.0,32.98,6.74
NL-SHADE,4,0,10.000001463434728,33.03,
NL-SHADE,5,2,0.0,34.54,
"A:km=0,pe=.05,k=10",5,1,0.0,33.5,5.13
"B:km=.05,pe=.05,k=10",5,2,0.0,34.9,4.78
"B:km=.05,pe=.05,k=10",2,2,3.986579112347158,33.72,8.94
"B:km=.05,pe=.05,k=10",2,4,3.986579112347158,33.92,9.32
"A:km=0,pe=.05,k=10",2,0,3.986579112347158,33.77,9.19
"A:km=0,pe=.05,k=10",5,4,0.0,36.44,5.13
"A:km=0,pe=.05,k=10",3,1,0.0,37.26,4.16
"A:km=0,pe=.05,k=10",3,4,0.0,36.4,4.47
NL-SHADE,4,1,14.00000000013506,37.61,
NL-SHADE,9,0,4.547473508864641e-13,38.01,
NL-SHADE,3,1,0.0,39.23,
NL-SHADE,4,4,10.00000000000864,38.09,
NL-SHADE,10,3,220.8726497489797,40.61,
NL-SHADE,9,4,0.0,40.6,
"B:km=.05,pe=.05,k=10",2,3,8.916101927781312,41.28,7.27
"A:km=0,pe=.05,k=10",3,3,0.0,42.37,4.57
"B:km=.05,pe=.05,k=10",3,0,0.0,41.63,4.06
NL-SHADE,9,2,0.0,42.7,
NL-SHADE,4,3,8.0,42.83,
NL-SHADE,10,1,220.8726497489797,43.2,
"B:km=.05,pe=.05,k=10",3,3,0.0,43.3,4.24
"A:km=0,pe=.05,k=10",1,1,0.0,44.87,7.09
NL-SHADE,9,1,0.0,44.95,
"A:km=0,pe=.05,k=10",5,3,0.0,44.03,5.21
"A:km=0,pe=.05,k=10",1,2,0.0,45.51,6.48
"A:km=0,pe=.05,k=10",1,3,0.0,46.52,7.26
"A:km=0,pe=.05,k=10",2,2,3.986579112347158,44.77,9.41
"B:km=.05,pe=.05,k=10",1,3,0.0,45.52,6.02
"B:km=.05,pe=.05,k=10",3,4,0.0,48.88,4.87
"B:km=.05,pe=.05,k=10",5,3,0.0,48.95,5.01
"B:km=.05,pe=.05,k=10",5,1,0.0,50.52,4.71
NL-SHADE,4,2,10.000000130220542,50.4,
"B:km=.05,pe=.05,k=10",1,1,0.0,51.38,6.53
"C:km=0,pe=0,k=10",1,0,0.0,26.4,6.57
"A:km=0,pe=.05,k=10",5,0,0.0,51.92,5.24
"A:km=0,pe=.05,k=10",10,3,220.8726497489797,54.42,6.58
"C:km=0,pe=0,k=10",1,1,0.0,26.5,6.94
"A:km=0,pe=.05,k=10",2,4,3.986579112347158,54.44,8.51
"C:km=0,pe=0,k=10",1,2,0.0,26.02,7.13
"C:km=0,pe=0,k=10",1,4,0.0,25.91,7.03
"B:km=.05,pe=.05,k=10",2,1,8.916101927781312,55.32,7.09
"A:km=0,pe=.05,k=10",9,1,4.547473508864641e-13,54.29,10.92
"B:km=.05,pe=.05,k=10",3,2,0.0,54.66,4.05
"B:km=.05,pe=.05,k=10",3,1,0.0,56.63,4.1
"A:km=0,pe=.05,k=10",10,1,220.87264974897926,56.48,9.78
"C:km=0,pe=0,k=10",2,0,3.986579112347158,27.44,8.91
"C:km=0,pe=0,k=10",2,1,8.916101927781312,27.95,7.26
"A:km=0,pe=.05,k=10",9,4,4.547473508864641e-13,57.23,10.4
"C:km=0,pe=0,k=10",2,2,3.986579112347158,27.39,8.73
"C:km=0,pe=0,k=10",1,3,0.0,29.96,7.2
"C:km=0,pe=0,k=10",2,3,3.986579112347158,27.81,8.2
NL-SHADE,11,3,0.0,60.34,
NL-SHADE,11,2,4.547473508864641e-13,60.37,
"A:km=0,pe=.05,k=10",3,2,0.0,60.14,4.53
"A:km=0,pe=.05,k=10",3,0,0.0,60.73,4.61
"A:km=0,pe=.05,k=10",10,0,221.12205728252366,62.53,6.28
NL-SHADE,12,4,164.47351934602648,63.04,
"C:km=0,pe=0,k=10",5,1,0.0,29.56,5.22
"C:km=0,pe=0,k=10",5,0,0.0,30.36,5.92
"A:km=0,pe=.05,k=10",4,2,6.000000869558789,64.67,18.73
"C:km=0,pe=0,k=10",3,2,0.0,33.23,4.43
NL-SHADE,10,2,220.8726497489797,65.29,
"C:km=0,pe=0,k=10",5,3,0.0,29.34,5.39
"C:km=0,pe=0,k=10",3,0,0.0,34.57,4.95
"C:km=0,pe=0,k=10",3,1,0.0,34.53,4.1
"C:km=0,pe=0,k=10",5,4,0.0,29.38,5.41
"C:km=0,pe=0,k=10",3,3,0.0,34.85,4.32
"B:km=.05,pe=.05,k=10",9,0,4.547473508864641e-13,52.69,11.01
NL-SHADE,10,4,220.87264974897926,69.66,
"C:km=0,pe=0,k=10",5,2,0.0,31.44,5.97
"B:km=.05,pe=.05,k=10",6,1,0.48336371605296335,70.72,59.09
"A:km=0,pe=.05,k=10",9,0,4.547473508864641e-13,69.62,10.68
"B:km=.05,pe=.05,k=10",9,2,0.0,53.48,10.91
"B:km=.05,pe=.05,k=10",9,3,0.0,53.55,10.83
"B:km=.05,pe=.05,k=10",9,1,0.0,54.36,11.27
NL-SHADE,12,0,165.46842172031893,71.98,
"B:km=.05,pe=.05,k=10",10,0,221.12205728252366,53.26,6.34
"B:km=.05,pe=.05,k=10",10,1,221.12205728252366,53.39,6.01
"B:km=.05,pe=.05,k=10",6,0,0.34915776923662634,73.32,60.04
NL-SHADE,9,3,4.547473508864641e-13,71.89,
NL-SHADE,10,0,220.8726497489797,73.35,
"C:km=0,pe=0,k=10",3,4,0.0,39.75,4.41
"A:km=0,pe=.05,k=10",4,0,8.0,74.06,16.28
