variant,func_num,dim,seed,final_error,elapsed_s,injection_count,injection_fes,saddles_archived
A,4,10,0,14.000342739150824,4.265405099955387,0,0,0
A,4,10,1,10.000446343102567,4.202463899971917,0,0,0
A,4,10,2,14.001447953558,4.1395654999651015,0,0,0
A,4,10,3,14.000009639675795,4.395098200067878,0,0,0
A,4,10,4,6.0064166470315286,4.217009000014514,0,0,0
A,7,10,0,0.5111096298990105,16.26566539995838,0,0,0
A,7,10,1,0.6710073137685413,16.320724199991673,0,0,0
A,7,10,2,0.16299117654011752,16.25430059991777,0,0,0
A,7,10,3,0.3263392971189205,16.392452999949455,0,0,0
A,7,10,4,0.3055996689661242,16.22809310001321,0,0,0
A,8,10,0,1.3888856809226127,21.365042700082995,0,0,0
A,8,10,1,0.7383887293735825,21.624269300024025,0,0,0
A,8,10,2,0.8634520093914944,21.99637619999703,0,0,0
A,8,10,3,0.8147916397551853,21.459503600024618,0,0,0
A,8,10,4,1.2145280807990275,21.474081300082617,0,0,0
A,12,10,0,119.28734186825704,9.728444300009869,0,0,0
A,12,10,1,0.0,9.667714999988675,0,0,0
A,12,10,2,141.66671752929278,9.998330499976873,0,0,0
A,12,10,3,141.76327488484048,9.880943799973466,0,0,0
A,12,10,4,140.01343827940536,9.95770310005173,0,0,0
B,4,10,0,6.000824199076874,7.747869800077751,24,168,1979
B,4,10,1,10.000000003999958,7.618326300056651,21,200,1780
B,4,10,2,8.00000000003206,8.20533270004671,22,205,1903
B,4,10,3,12.00000000000091,8.058981899986975,31,185,1630
B,4,10,4,10.00103101372315,7.3225528000621125,35,248,2017
B,7,10,0,0.31610159480783295,20.187453499995172,14,83,4983
B,7,10,1,0.35127673795227565,20.26831850002054,13,153,4459
B,7,10,2,1.1263775840004655,20.28979559999425,27,145,4485
B,7,10,3,0.206477469096626,20.238608499988914,16,134,5091
B,7,10,4,0.8385726055862506,19.95512790000066,29,164,4542
B,8,10,0,3.69905389524547,25.369406599900685,47,312,6249
B,8,10,1,7.032846600865469,25.06591969996225,28,314,5525
B,8,10,2,2.0210571376874213,25.31515879998915,41,318,5520
B,8,10,3,2.4426795741969727,25.17413229995873,39,239,4992
B,8,10,4,3.211493257877464,25.134531300049275,38,226,5295
B,12,10,0,141.32294370662657,12.910114700091071,12,107,1110
B,12,10,1,0.0,12.950477799982764,14,43,2455
B,12,10,2,141.57699739351392,12.759459299966693,13,138,1283
B,12,10,3,141.86533104615864,12.950419600005262,5,55,1917
B,12,10,4,112.11458410123123,12.962324500083923,15,106,1640
C,4,10,0,18.000016273776737,4.2910504000028595,0,0,0
C,4,10,1,16.000263072825646,4.361247800057754,0,0,0
C,4,10,2,14.000003412727665,4.341501599992625,0,0,0
C,4,10,3,18.000019912440962,4.371358499978669,0,0,0
C,4,10,4,16.000066638029693,4.321170400013216,0,0,0
C,7,10,0,0.3380374100977406,16.675448299967684,0,0,0
C,7,10,1,0.1604550105510043,16.57471750001423,0,0,0
C,7,10,2,0.11110797940068551,16.58291450003162,0,0,0
C,7,10,3,1.092601993094604,16.656222500023432,0,0,0
C,7,10,4,0.12267981552349738,16.550976099912077,0,0,0
C,8,10,0,0.2955564956696435,21.82205790001899,0,0,0
C,8,10,1,0.5464866283155061,22.684959599981084,0,0,0
C,8,10,2,20.408150725674204,21.73540140001569,0,0,0
C,8,10,3,0.5492546281830073,21.771761400043033,0,0,0
C,8,10,4,0.7630171497612537,22.37840829999186,0,0,0
C,12,10,0,154.63368903588616,9.997359600034542,0,0,0
C,12,10,1,116.04589393494643,10.001704400056042,0,0,0
C,12,10,2,91.66745920504218,10.190409900038503,0,0,0
C,12,10,3,145.54059936500653,10.438816400012001,0,0,0
C,12,10,4,145.45368222357638,10.227676900103688,0,0,0
D,4,10,0,8.000778552780844,7.345339199993759,91,310,421
D,4,10,1,8.000584892386541,7.118150499998592,82,257,253
D,4,10,2,12.000000000000796,7.186136900098063,85,286,326
D,4,10,3,8.000045559290356,7.119826899957843,81,256,250
D,4,10,4,10.000000000000341,7.5125115000410005,83,284,372
D,7,10,0,0.5324354616950586,19.181967700016685,71,210,1036
D,7,10,1,0.7748741764330589,19.17005259997677,70,215,1305
D,7,10,2,1.0878020475502126e-06,19.584918800042942,27,122,1464
D,7,10,3,0.6752891904131957,19.144536399981007,65,168,940
D,7,10,4,0.5595985048346392,19.688337599975057,87,284,1331
D,8,10,0,1.6045483300495107,24.64600559999235,104,368,1342
D,8,10,1,1.4422983243007366,24.287684499984607,98,353,1358
D,8,10,2,2.064380387877918,24.731779400026426,101,360,1853
D,8,10,3,2.9967555676971642,24.927719799918123,105,366,949
D,8,10,4,1.7065379481250602,24.48615879996214,106,383,1538
D,12,10,0,154.63368971375576,12.417753199930303,47,142,259
D,12,10,1,128.7672151077354,12.530224099988118,28,74,417
D,12,10,2,9.484896924995155,12.367863000021316,7,37,526
D,12,10,3,145.28440882346877,12.516383500071242,49,123,394
D,12,10,4,147.6271430492161,12.570899700047448,60,170,320
